0.125	4.17295E-05
0.375	8.09329E-05
0.625	0.000145409
0.875	0.000215003
1.125	0.00026222
1.375	0.000288002
1.625	0.000318257
1.875	0.00034273
2.125	0.000373857
2.375	0.000353214
2.625	0.000349271
2.875	0.000314086
3.125	0.000272695
3.375	0.000220304
3.625	0.000165162
3.875	0.000117164
4.125	6.95534E-05
4.375	3.79489E-05
4.625	2.29471E-05
4.875	1.50706E-05
5.125	8.8279E-06
5.375	6.92583E-06
5.625	6.76289E-06
5.875	6.19314E-06
6.125	5.39098E-06
6.375	8.09143E-06
6.625	4.90593E-06
6.875	6.10864E-06
7.125	5.02213E-06
7.375	4.88945E-06
7.625	4.481E-06
7.875	5.30165E-06
8.125	4.27549E-06
8.375	4.69368E-06
8.625	4.6691E-06
8.875	3.46355E-06
9.125	3.26913E-06
9.375	3.79933E-06
9.625	5.53101E-06
9.875	4.84179E-06
10.125	3.30158E-06
10.375	3.53619E-06
10.625	3.35661E-06
10.875	3.52353E-06
11.125	2.5863E-06
11.375	2.84612E-06
11.625	2.7711E-06
11.875	2.61411E-06
12.125	2.79246E-06
12.375	4.15514E-06
12.625	3.68472E-06
12.875	2.7115E-06
13.125	2.70437E-06
13.375	2.29902E-06
13.625	2.4158E-06
13.875	2.35034E-06
14.125	2.19728E-06
14.375	1.77901E-06
14.625	2.41581E-06
14.875	3.20873E-06
15.125	2.4817E-06
15.375	2.25662E-06
15.625	1.23331E-06
15.875	1.20142E-06
16.125	9.97343E-07
16.375	2.51261E-06
16.625	1.001E-06
16.875	9.41166E-07
17.125	7.07028E-07
17.375	7.39675E-07
17.625	7.81756E-07
17.875	8.23531E-07
18.125	7.43244E-07
18.375	6.62232E-07
18.625	6.00946E-07
18.875	6.08401E-07
19.125	4.17956E-07
19.375	6.13868E-07
19.625	5.86483E-07
19.875	5.37681E-07
20.125	4.39555E-07
20.375	7.61151E-07
20.625	4.61093E-07
20.875	4.45121E-07
21.125	5.38435E-07
21.375	5.20849E-07
21.625	3.91714E-07
21.875	3.36491E-07
22.125	4.9452E-07
22.375	3.73162E-07
22.625	3.82506E-07
22.875	5.12893E-07
23.125	5.94943E-07
23.375	2.03133E-07
23.625	3.4667E-07
23.875	4.10105E-07
24.125	3.38094E-07
24.375	4.77577E-07
24.625	4.60457E-07
24.875	4.59172E-07
25.125	3.45997E-07
25.375	2.26747E-07
25.625	2.75827E-07
25.875	2.54825E-07
26.125	2.06403E-07
26.375	3.13549E-07
26.625	2.63611E-07
26.875	2.01754E-07
27.125	2.02357E-07
27.375	2.42779E-07
27.625	2.72888E-07
27.875	3.04361E-07
28.125	2.80875E-07
28.375	1.03634E-07
28.625	1.39038E-07
28.875	1.62611E-07
29.125	1.38085E-07
29.375	2.04102E-07
29.625	1.74661E-07
29.875	8.83207E-08
30.125	4.04238E-07
30.375	2.26819E-07
30.625	1.47713E-07
30.875	1.17716E-07
31.125	2.10025E-07
31.375	8.08335E-08
31.625	1.87002E-07
31.875	2.06752E-07
32.125	0
32.375	1.36749E-07
32.625	5.61229E-08
32.875	0
33.125	8.32744E-08
33.375	4.6882E-08
33.625	1.69958E-07
33.875	9.14706E-08
34.125	1.75726E-07
34.375	0
34.625	1.19469E-07
34.875	9.93252E-08
35.125	1.13091E-07
35.375	5.43295E-08
35.625	2.19622E-07
35.875	0
36.125	0
36.375	0
36.625	1.51375E-07
36.875	1.80897E-07
37.125	1.90811E-07
37.375	1.703E-07
37.625	0
37.875	8.58606E-08
38.125	0
38.375	7.21691E-08
38.625	0
38.875	5.59745E-08
39.125	1.42991E-07
39.375	0
39.625	0
39.875	0
40.125	6.29293E-08
40.375	0
40.625	0
40.875	0
41.125	1.33949E-07
41.375	0
41.625	0
41.875	1.09883E-07
42.125	0
42.375	0
42.625	0
42.875	0
43.125	9.94753E-08
43.375	1.93538E-07
43.625	7.16151E-08
43.875	6.96028E-08
44.125	0
44.375	0
44.625	0
44.875	0
45.125	0
45.375	0
45.625	1.07598E-07
45.875	0
46.125	0
46.375	0
46.625	0
46.875	1.77693E-07
47.125	7.79141E-08
47.375	0
47.625	0
47.875	2.33274E-07
48.125	0
48.375	0
48.625	0
48.875	0
49.125	0
49.375	0
49.625	0
49.875	0
50.125	0
50.375	0
50.625	2.73637E-07
50.875	0
51.125	1.20102E-07
51.375	0
51.625	0
51.875	0
52.125	0
52.375	0
52.625	0
52.875	0
53.125	0
53.375	0
53.625	0
53.875	0
54.125	0
54.375	0
54.625	0
54.875	0
55.125	0
55.375	0
55.625	0
55.875	0
56.125	0
56.375	0
56.625	0
56.875	1.30944E-07
57.125	0
57.375	0
57.625	0
57.875	0
58.125	0
58.375	0
58.625	0
58.875	0
59.125	0
59.375	0
59.625	0
59.875	0
60.125	0
60.375	0
60.625	0
60.875	0
61.125	0
61.375	0
61.625	0
61.875	0
62.125	0
62.375	0
62.625	0
62.875	0
63.125	0
63.375	0
63.625	0
63.875	0
64.125	0
64.375	0
64.625	0
64.875	0
65.125	0
65.375	0
65.625	0
65.875	0
66.125	0
66.375	0
66.625	0
66.875	0
67.125	0
67.375	0
67.625	0
67.875	0
68.125	0
68.375	0
68.625	0
68.875	0
69.125	0
69.375	0
69.625	0
69.875	0
70.125	0
70.375	0
70.625	0
70.875	0
71.125	0
71.375	0
71.625	0
71.875	0
72.125	0
72.375	0
72.625	0
72.875	0
73.125	0
73.375	0
73.625	0
73.875	0
74.125	0
74.375	0
74.625	0
74.875	0
75.125	0
75.375	0
75.625	0
75.875	0
76.125	0
76.375	0
76.625	0
76.875	0
77.125	0
